text,label,meta,context,source,target
"France's representative to the UNSC said Trump's deal cements despair for young people in Palestine, calling out the deal for rejecting long-standing international standards.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=791,,France's representative to the UNSC,Trump
"The former Chief Minister of IOK, Omar Abdullah, condemned the Indian government's decision of rescinding the special status as “a naked aggression against the Kashmiri people”.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=801,,"former Chief Minister of IOK, Omar Abdullah",Indian government
"Senate Committee on Trade and Investment on, Tuesday, opened fresh investigation into illegal transfer of N14.3billion from the 2017 budgetary allocation of the Nigerian Export Processing Zones Authority (NEPZA) to a private company, Nigeria Special Economic Zones Company.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=818,,Senate Committee on Trade and Investment,Nigerian Export Processing Zones Authority (NEPZA)
A UN human rights expert has called for sanctions against Myanmar's military-run companies for serious violations.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=824,,UN human rights expert,Myanmar's military-run companies
"Some European countries have called for sanctions against Moscow over the Navalny case, including halting the construction of the undersea Nord Stream 2 gas pipeline, designed to export gas from Russia to Germany by bypassing Ukraine.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=832,,Some European countries,Moscow
"Former Homeland Security Secretary Kirstjen Nielsen and a top immigration official challenged a previously secret White House plan to arrest thousands of migrant parents and children in nearly a dozen U.S. cities, Fox News confirmed Monday.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=837,,Former Homeland Security Secretary Kirstjen Nielsen and a top immigration official,previously secret White House plan
"The Bangladeshi government has ordered an investigation against Grameen Bank, the institution which was founded by Muhammed Yunus, winner of the 2006 Nobel Peace Prize.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=861,,Bangladeshi government,"Grameen Bank, the institution which was founded by Muhammed Yunus"
"A U.N. committee has issued a report highly critical of the Vietnamese government, demanding Hanoi stop jailing activists and journalists for speaking out against state policies, while also condemning Vietnam for executing high numbers of people guilty of minor crimes after unfair trials.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=862,,U.N. committee,Vietnamese government
"Agnes Callamard, the special rapporteur for the U.N.'s Office of the High Commissioner for Human Rights, conducted a five-month investigation into Khashoggi's death last fall at the Saudi consulate in Istanbul.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=865,,"Agnes Callamard, the special rapporteur for the U.N.'s Office of the High Commissioner for Human Rights",Khashoggi's death
"A U.S. federal court judge in Washington recently found the Syrian regime guilty of murdering the London Sunday Times war correspondent, awarding her family $302 million (U.S.) .",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=871,,U.S. federal court judge in Washington,Syrian regime
Athens' foreign ministry summoned the Turkish ambassador in protest.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=887,,Athens' foreign ministry,Turkish ambassador
Lithuania had summoned the Russian ambassador to complain about repeated Russian naval activities.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=889,,Lithuania,Russian ambassador
"The Ankara public prosecutor's office launched an investigation into Boztepe on suspicion of ""degrading the Turkish people, the Turkish state, state institutions"" and ""disrupting the unity and territorial integrity of the state"", state news agency Anadolu reported.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=895,,Ankara public prosecutor's office,Boztepe
"Palestinian President Mahmoud Abbas's office condemned Netanyahu's decision to advance construction in E1, saying it would violate international law and ""push things to the abyss.""",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=907,,Palestinian President Mahmoud Abbas's office,Netanyahu
Iran's Foreign Ministry's spokesman Bahram Qassemi strongly condemned the Quetta suicide terrorist attack.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=909,,Iran's Foreign Ministry's spokesman Bahram Qassemi,Quetta suicide terrorist attack
Haaretz conducted an investigation into the Jerusalem court in 2018 and found that not one of the court's 30 judges is an Arab.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=913,,Haaretz,Jerusalem court
President Gloria Arroyo has ordered an investigation against Education Secretary Raul Roco amid allegations of early politicking ahead of the 2004 presidential elections.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=936,,President Gloria Arroyo,Education Secretary Raul Roco
"A Lebanese lawyer, Kareem Majbour, filed a complaint with the U.N. Human Rights Council Sunday against the Lebanese state, security forces and Hassan for the excessive force used against protesters since the start of the demonstrations.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=962,,"Lebanese lawyer, Kareem Majbour","Lebanese state, security forces and Hassan"
"Following an emergency meeting of the Council of Foreign Ministers of the member states of OIC in the Saudi city of Jeddah on Sunday, the OIC expressed its total rejection and strong condemnation of the Israeli Prime Minister's declaration, to annex the Jordan Valley in the occupied West Bank if re-elected in September 17 polls.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=972,,OIC,Israeli Prime Minister's declaration
Uttar Pradesh Chief Minister Yogi Adityanath on Sunday launched a scathing attack on West Bengal's Trinamool Congress (TMC) government calling it anti-people.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=987,,Uttar Pradesh Chief Minister Yogi Adityanath,West Bengal's Trinamool Congress (TMC) government
"Syria's foreign ministry also filed a complaint to the United Nations security council over the attack, demanding accountability, according to Sana.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=992,,Syria's foreign ministry,United Nations security council
A Copenhagen City Court judge found Britta Nielsen guilty of stealing nearly 117 million kroner ($17 million) from a Danish government welfare agency over 25 years.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=1001,,Copenhagen City Court judge,Britta Nielsen
"The U.S. Department of Justice and the U.S. Attorney's Office in San Francisco have launched an investigation into the Leawood-based AMC Entertainment Holdings Inc, after the spiking stock prices for this company.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=1017,,U.S. Department of Justice and the U.S. Attorney's Office in San Francisco,Leawood-based AMC Entertainment Holdings Inc
The European Union has launched legal action against the United Kingdom following the country's decision not to name a candidate for the bloc's executive arm.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=1033,,European Union,United Kingdom
A U.S. federal judge Thursday approved the extradition of former Panamanian President Ricardo Martinelli to face charges of corruption and spying on his political opponents.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=99,,U.S. federal judge,former Panamanian President Ricardo Martinelli
"A Dutch court on Thursday approved the extradition of a suspected Islamist militant wanted on suspicion of plotting attacks in France, two months after his arrest in Rotterdam.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=739,,Dutch court,suspected Islamist militant
"Directly after the attacks Tuesday, the Afghan government said Taliban militants were responsible.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=288,,Afghan government,Taliban militants
"Turkish police investigators, forensic experts and prosecutors searched the Saudi consul general's residence for evidence on Wednesday afternoon.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=562,,"Turkish police investigators, forensic experts and prosecutors",Saudi consul general's residence
A Nigerian court has convicted 45 Boko Haram members in the largest mass trial in the Islamic extremist group's history.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=891,,Nigerian court,45 Boko Haram members
"Stating that recovery made in a Narcotic Drugs and Psychotropic Substances Act (NDPS) case in the absence of a Gazetted Officer or an Executive Magistrate has no adverse impact on the probe, a Delhi Court on Friday convicted a Nigerian man for possessing 104 grams of drugs.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=911,,Delhi Court,Nigerian man
BERLIN -- A court in Bavaria has convicted an Iranian and three Afghan men over their drunken assault of passers-by that prompted a public outcry in Germany in December.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=1014,,court in Bavaria,Iranian and three Afghan men
"India extradited a top Pakistan militant suspected to have planned the 2008 Mumbai attacks after the United States said last week he was living freely in Pakistan, government officials said on Sunday.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=1036,,India,top Pakistan militant
"UN officials, in turn, complained that they had to work exclusively with local partners pre-approved by Damascus.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=690,,UN officials,recipient
Kremlin critics say Russian President Vladimir Putin has given him free rein because he relies on him to keep a lid on separatism following two devastating post-Soviet wars in Chechnya.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=231,,Kremlin critics,Russian President Vladimir Putin
BEIJING -- A Chinese court on Saturday ordered the retrial of a Canadian man on a drug-smuggling charge after siding with prosecutors who argued that his original 15-year prison sentence for his conviction had been too light.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=302,,Chinese court,Canadian man
