text,label,meta,context,source,target
"<s>his brother</s>, uday, was very highly personal, arbitrary, spontaneous in his attacks, extended to <t>young girls</t>, to friends, to employees.",Conflict,AW|doc_id=669|sent_id=126|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:his brother,Target:young girls
"in <t>gaza</t>, a pair of <s>israeli</s> gun ship attack, aerial attacks that have threatened to derail the road map to peace, as it is called.",Conflict,AW|doc_id=1297|sent_id=132|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:israeli,Place:gaza
"Earlier this week, Saudi and U.S. officials said they had new intelligence pointing to <s>Osama bin Laden's al-Qaida group</s> possibly launching fresh attacks in <t>the United States</t> or against American interests overseas.",Conflict,AW|doc_id=2275|sent_id=112|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:Osama bin Laden's al-Qaida group,Place:the United States
Eight-fifteen a.m. Iraq's information minister reads a message he says is from Saddam Hussein urging <s>Iraqis</s> to step up attacks against <t>coalition forces</t>.,Conflict,AW|doc_id=3304|sent_id=114|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:Iraqis,Target:coalition forces
"We are warning <s>Israel</s> not to exploit this war against Iraq to carry out more attacks against <t>the Palestinian people in the Gaza Strip</t> and destroy the Palestinian Authority and the peace process, he said.",Conflict,AW|doc_id=3552|sent_id=54|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:Israel,Target:the Palestinian people in the Gaza Strip
"We are warning <s>Israel</s> not to exploit this war against Iraq to carry out more attacks against the Palestinian people in <t>the Gaza Strip</t> and destroy the Palestinian Authority and the peace process, he said.",Conflict,AW|doc_id=3552|sent_id=54|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:Israel,Place:the Gaza Strip
"Since marching into Iraq, <s>coalition troops</s> have engaged in some fierce battles with <t>Saddam Hussein's forces</t>.",Conflict,AW|doc_id=169|sent_id=175|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:coalition troops,Attacker:Saddam Hussein's forces
"Since marching into <t>Iraq</t>, <s>coalition troops</s> have engaged in some fierce battles with Saddam Hussein's forces.",Conflict,AW|doc_id=169|sent_id=175|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:coalition troops,Place:Iraq
"``This tightens the noose against <t>Saddam's forces</t> battling <s>coalition forces to the south</s>,'' Brig.",Conflict,AW|doc_id=1870|sent_id=58|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:coalition forces to the south,Target:Saddam's forces
"<s>U.S. forces</s> tightened their grip throughout Baghdad, entering the city for the first time from the north, seizing a military airport and battling snipers and <t>Republican Guard fighters</t>.",Conflict,AW|doc_id=1981|sent_id=233|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:U.S. forces,Attacker:Republican Guard fighters
"<s>U.S. forces</s> tightened their grip throughout Baghdad, entering the city for the first time from the north, seizing a military airport and battling <t>snipers</t> and Republican Guard fighters.",Conflict,AW|doc_id=1981|sent_id=233|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:U.S. forces,Target:snipers
"In another development, Israeli forensics experts identified a body that washed up on a Tel Aviv beach last week as that of a Briton, Omar Khan Sharif, 27, the suspected accomplice of <s>a British suicide bomber</s> who blew himself up outside <t>a Tel Aviv pub</t> April 30.",Conflict,AW|doc_id=2248|sent_id=131|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:a British suicide bomber,Place:a Tel Aviv pub
"bombardment of <t>baghdad</t> continues tonight and over the past 20 minutes, explosions rocking <t>baghdad</t>, central <t>baghdad</t> southern <t>baghdad</t>, the outskirts of <t>baghdad</t>, and importantly, as the coalition forces, principally <s>u.s. army</s> forces, move against saddam hussein international airport -- which is about ten miles outside the center of <t>baghdad</t> -- those explosions are intensifies.",Conflict,AW|doc_id=846|sent_id=95|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:u.s. army,Target:baghdad
"bombardment of baghdad continues tonight and over the past 20 minutes, explosions rocking baghdad, central baghdad southern baghdad, the outskirts of baghdad, and importantly, as the coalition forces, principally <s>u.s. army</s> forces, move against <t>saddam hussein international airport</t> -- which is about ten miles outside the center of baghdad -- those explosions are intensifies.",Conflict,AW|doc_id=846|sent_id=95|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:u.s. army,Target:saddam hussein international airport
"bombardment of <t>baghdad</t> continues tonight and over the past 20 minutes, explosions rocking <t>baghdad</t>, central <t>baghdad</t> southern <t>baghdad</t>, the outskirts of <t>baghdad</t>, and importantly, as <s>the coalition forces</s>, principally u.s. army forces, move against saddam hussein international airport -- which is about ten miles outside the center of <t>baghdad</t> -- those explosions are intensifies.",Conflict,AW|doc_id=846|sent_id=95|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:the coalition forces,Target:baghdad
"bombardment of baghdad continues tonight and over the past 20 minutes, explosions rocking baghdad, central baghdad southern baghdad, the outskirts of baghdad, and importantly, as <s>the coalition forces</s>, principally u.s. army forces, move against <t>saddam hussein international airport</t> -- which is about ten miles outside the center of baghdad -- those explosions are intensifies.",Conflict,AW|doc_id=846|sent_id=95|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:the coalition forces,Target:saddam hussein international airport
"Earlier Saturday, Baghdad was again targeted, one day after a massive <s>U.S</s>. aerial bombardment in which more than 300 Tomahawk cruise missiles rained down on <t>the capital</t>.",Conflict,AW|doc_id=3852|sent_id=111|dataset=ace|osplit=test|etype=Conflict:Attack,Conflict:Attack,Attacker:U.S,Place:the capital
"there is strong speculation that saddam hussein may be his two sons were inside of <t>that building</t> when it was hit by <s>coalition</s> bombs, or may have left prior to the bombing taking place.",Conflict,AW|doc_id=948|sent_id=211|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:coalition,Target:that building
<s>the <t>oklahoma city</t> bombing conspirator</s> is already serving a life term in federal prison.,Conflict,AW|doc_id=1142|sent_id=201|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:the oklahoma city bombing conspirator,Place:oklahoma city
"Police believed Ba'asyir was the spiritual leader of Jemaah Islamiyah, <s>the terrorist network in Southeast Asia which is widely blamed for the <t>Bali</t> bombing</s>.",Conflict,AW|doc_id=2415|sent_id=164|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:the terrorist network in Southeast Asia which is widely blamed for the Bali bombing,Place:Bali
"<s>Radical leftist, Kurdish and Islamic groups</s> are active in <t>the country</t> and have carried out bombings in the past.",Conflict,AW|doc_id=2269|sent_id=167|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,"Attacker:Radical leftist, Kurdish and Islamic groups",Place:the country
"These are <s>the same terrorists</s> blowing up <t>families</t>, chopping off heads of civilians, and the complete disregard for any human life and they just disagree with us?",Conflict,AW|doc_id=3401|sent_id=218|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:the same terrorists,Target:families
"In the Egyptian capital, <s>10 demonstrators</s> and at least four policeman were injured in clashes after several thousand demonstrators took to <t>the streets near the US and British embassies</t>.",Conflict,AW|doc_id=3558|sent_id=137|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:10 demonstrators,Place:the streets near the US and British embassies
"In the Egyptian capital, 10 demonstrators and <s>at least four policeman</s> were injured in clashes after several thousand demonstrators took to <t>the streets near the US and British embassies</t>.",Conflict,AW|doc_id=3558|sent_id=137|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:at least four policeman,Place:the streets near the US and British embassies
"Well, when they do finally enter <t>Baghdad</t>, U.S. and coalition troops could face urban combat with <s>the Republican Guard</s>, some of whom may have withdrawn into the city.",Cooperation,AW|doc_id=364|sent_id=248|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:the Republican Guard,Place:Baghdad
"Well, when they do finally enter <t>Baghdad</t>, <s>U.S. and coalition troops</s> could face urban combat with the Republican Guard, some of whom may have withdrawn into the city.",Conflict,AW|doc_id=364|sent_id=248|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:U.S. and coalition troops,Place:Baghdad
"<s>Australian commandos</s>, who have been operating deep in Iraq, destroyed <t>a command and control post</t> and killed a number of soldiers, according to the country's defense chief, Gen. Peter Cosgrove.",Conflict,AW|doc_id=3866|sent_id=91|dataset=ace|osplit=test|etype=Conflict:Attack,Conflict:Attack,Attacker:Australian commandos,Target:a command and control post
"<s>Australian commandos</s>, who have been operating deep in <t>Iraq</t>, destroyed a command and control post and killed a number of soldiers, according to the country's defense chief, Gen. Peter Cosgrove.",Conflict,AW|doc_id=3866|sent_id=91|dataset=ace|osplit=test|etype=Conflict:Attack,Conflict:Attack,Attacker:Australian commandos,Place:Iraq
"Earlier Monday, <s>a 19-year-old Palestinian riding a bicycle</s> detonated a 30-kilo (66-pound) bomb near a military jeep in the Gaza Strip, injuring <t>three soldiers</t>.",Conflict,AW|doc_id=2231|sent_id=110|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:a 19-year-old Palestinian riding a bicycle,Target:three soldiers
"Earlier Monday, <s>a 19-year-old Palestinian riding a bicycle</s> detonated a 30-kilo (66-pound) bomb near a military jeep in <t>the Gaza Strip</t>, injuring three soldiers.",Conflict,AW|doc_id=2231|sent_id=110|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:a 19-year-old Palestinian riding a bicycle,Place:the Gaza Strip
"Earlier Monday, <s>a 19-year-old Palestinian riding a bicycle</s> detonated a 30-kilo (66-pound) bomb near <t>a military jeep in the Gaza Strip</t>, injuring three soldiers.",Conflict,AW|doc_id=2231|sent_id=110|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:a 19-year-old Palestinian riding a bicycle,Target:a military jeep in the Gaza Strip
they're going to be defended fanatically but intelligence is so crucial from aerial platforms and special ops personnel to give <s>the three assets</s> the intel which they need to close with and eliminate <t>final remnants of the regime in those citys</t>.,Conflict,AW|doc_id=875|sent_id=221|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:the three assets,Target:final remnants of the regime in those citys
"We know that some of <s>the American troops</s> now fighting in <t>Iraq</t> are longtime veterans of warfare, probably not most, but some.",Conflict,AW|doc_id=125|sent_id=245|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:the American troops,Place:Iraq
"War in Iraq <s>The US</s> is currently engaged in major fighting in <t>Fallujah, Iraq</t>.",Conflict,AW|doc_id=1802|sent_id=242|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:The US,"Place:Fallujah, Iraq"
Anyone remember Khomeini's declaration in 1982 that <s><t>Iran</t></s> wouldn't stop fighting until they overthrew Saddam?,Conflict,AW|doc_id=2801|sent_id=83|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:Iran,Place:Iran
"Eight-forty-three a.m. CNN Pentagon correspondent Barbara Starr reports <s>coalition troops</s> entering Baghdad were met with fierce fighting, and there were <t>casualties</t> on both sides.",Conflict,AW|doc_id=3306|sent_id=115|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:coalition troops,Target:casualties
"Eight-forty-three a.m. CNN Pentagon correspondent Barbara Starr reports <s>coalition troops</s> entering <t>Baghdad</t> were met with fierce fighting, and there were casualties on both sides.",Conflict,AW|doc_id=3306|sent_id=115|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:coalition troops entering Baghdad,Place:Baghdad
"Secession by Iraqi Kurds could inspire <s><t>Turkey</t>'s rebel Kurds, who for 15 years have been fighting for autonomy</s>.",Conflict,AW|doc_id=3808|sent_id=172|dataset=ace|osplit=test|etype=Conflict:Attack,Conflict:Attack,"Entity:Turkey's rebel Kurds, who for 15 years have been fighting for autonomy",Place:Turkey
"And an American writer/editor, ""<t>Washington Post"" editorial columnist Michael Kelly</t>, was killed when his Humvee plunged into a canal while evading <s>Iraqi</s> fire.",Conflict,AW|doc_id=517|sent_id=78|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:Iraqi,"Target:Washington Post"" editorial columnist Michael Kelly"
"seven iraqis were killed by <t>u.s. marines</t>, who say they were responding to <s>sniper</s> fire.",Conflict,AW|doc_id=638|sent_id=173|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:sniper,Target:u.s. marines
"164 days after the expiration of the federal ""assault weapons"" ban <s>some lunatic</s> opened fire with an AK-47 outside <t>a Texas courthouse</t>.",Conflict,AW|doc_id=2935|sent_id=60|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:some lunatic,Place:a Texas courthouse
<s>israeli</s> hospital gun ships fired on <t>a jeep in gaza</t>.,Conflict,AW|doc_id=1287|sent_id=143|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:israeli,Target:a jeep in gaza
<s>israeli</s> hospital gun ships fired on a jeep in <t>gaza</t>.,Conflict,AW|doc_id=1287|sent_id=143|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:israeli,Place:gaza
"Also Monday, <s>Israeli soldiers</s> fired on <t>four diplomatic vehicles in the northern Gaza town of Beit Hanoun</t>, diplomats said.",Conflict,AW|doc_id=2291|sent_id=73|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:Israeli soldiers,Target:four diplomatic vehicles in the northern Gaza town of Beit Hanoun
"Also Monday, <s>Israeli soldiers</s> fired on four diplomatic vehicles in <t>the northern Gaza town of Beit Hanoun</t>, diplomats said.",Conflict,AW|doc_id=2291|sent_id=73|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:Israeli soldiers,Place:the northern Gaza town of Beit Hanoun
(on camera): What stops though - we know <s>the Iraqis</s> have fired sand missiles and fired AAA at <t>aircraft</t> all throughout this war.,Conflict,AW|doc_id=3275|sent_id=56|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:the Iraqis,Target:aircraft
<s>The 24-year-old gunman</s> went into <t>a Best Buy store</t> and started firing.,Conflict,AW|doc_id=2923|sent_id=182|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:The 24-year-old gunman,Place:a Best Buy store
"<s>The United States</s> meanwhile deployed its B-2 stealth bombers to positions closer to Iraq and ordered as many as 15 warships capable of firing Tomahawk cruise missiles to <t>the Red Sea</t> from the Mediterranean, US officials said.",Conflict,AW|doc_id=3534|sent_id=205|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:The United States,Target:the Red Sea
"<s>The United States</s> meanwhile deployed its B-2 stealth bombers to positions closer to Iraq and ordered as many as 15 warships capable of firing Tomahawk cruise missiles to the Red Sea from <t>the Mediterranean</t>, US officials said.",Cooperation,AW|doc_id=3534|sent_id=205|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:The United States,Target:the Mediterranean
U.S. soldiers moved to capture Baghdad's Saddam International Airport early Friday and fought running battles with <s>Iraqi defenders along <t>the city's southern fringes</t></s>.,Conflict,AW|doc_id=1899|sent_id=236|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:Iraqi defenders along the city's southern fringes,Place:the city's southern fringes
<s>Members of the U.S. Army's V Corps</s> opened up a new front by entering <t>Baghdad</t> from the north.,Conflict,AW|doc_id=1989|sent_id=155|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:Members of the U.S. Army's V Corps,Place:Baghdad
"In the West Bank, <t>an eight-year-old Palestinian boy as well as his brother and a sister</t> were wounded late Wednesday by <s>Israeli</s> gunfire in a village north of the town of Ramallah, their elder sister said.",Conflict,AW|doc_id=3513|sent_id=138|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:Israeli,Target:an eight-year-old Palestinian boy as well as his brother and a sister
"In the West Bank, an eight-year-old Palestinian boy as well as his brother and a sister were wounded late Wednesday by <s>Israeli</s> gunfire in <t>a village north of the town of Ramallah</t>, their elder sister said.",Conflict,AW|doc_id=3513|sent_id=138|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:Israeli,Place:a village north of the town of Ramallah
"<s>malvo</s> on trial here in fairfax county for the murder of linda franklin, the fbi analyst who was gunned down in <t>a home depot parking lot</t>.",Conflict,AW|doc_id=1223|sent_id=152|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:malvo,Place:a home depot parking lot
"<s>malvo</s> on trial here in fairfax county for the murder of <t>linda franklin</t>, the fbi analyst who was gunned down in a home depot parking lot.",Conflict,AW|doc_id=1223|sent_id=152|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:malvo,Target:linda franklin
"We sent in <s>one of our companies of about 100 men</s> in here this morning and we took about 12 or 13 prisoners, three or four enemy were injured and they've now been flown out and we're treating them including <t>a man who is almost dead with a gunshot wound to the chest</t>.",Conflict,AW|doc_id=174|sent_id=246|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:one of our companies of about 100 men,Target:a man who is almost dead with a gunshot wound to the chest
"in <t>northern iraq</t>, <s>u.s</s>. warplanes hit targets including a ridge east of mosul, where iraqi troops have been entrenched.",Conflict,AW|doc_id=614|sent_id=136|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:u.s,Place:northern iraq
"in northern iraq, <s>u.s</s>. warplanes hit <t>targets including a ridge east of mosul, where iraqi troops have been entrenched</t>.",Conflict,AW|doc_id=614|sent_id=136|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:u.s,"Target:targets including a ridge east of mosul, where iraqi troops have been entrenched"
"The army said <s>troops</s> fired, and hit <t>a boy</t>, after a Palestinian youth threw a molotov cocktail.",Conflict,AW|doc_id=2282|sent_id=184|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:troops,Target:a boy
Eliminating such weapons was a chief reason President George W. Bush gave for the <s>U.S</s>.-led invasion of <t>Iraq</t> that began March 20.,Conflict,AW|doc_id=2085|sent_id=117|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:U.S,Place:Iraq
The Security Council imposed sanctions after <s>Iraq</s>'s 1990 invasion of <t>Kuwait</t>.,Conflict,AW|doc_id=2119|sent_id=202|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:Iraq,Place:Kuwait
It said the <s>U.S</s>. invasion of <t>Iraq</t> taught it that ``a war can be averted and the sovereignty of the country and the security of the nation can be protected only when a country has ... a strong military deterrent force capable of decisively repelling any attack to be made by any types of sophisticated weapons.'',Conflict,AW|doc_id=2220|sent_id=146|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:U.S,Place:Iraq
"When we came across <t>the bridge</t>, <s>the enemy</s> launched some 155 artillery rounds at us.",Conflict,AW|doc_id=224|sent_id=249|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:the enemy,Place:the bridge
"From Reuters : <s>U.S. Marines</s> rallied round a comrade under investigation for killing a wounded Iraqi during the offensive in <t>Falluja</t>, saying he was probably under combat stress in unpredictable, hair-trigger circumstances.",Conflict,AW|doc_id=3391|sent_id=119|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:U.S. Marines,Place:Falluja
"Are Kissinger Associates trying to start a ""Palestinian Civil War"" like their <s><t>Lebanese</t></s> one a generation ago?",Conflict,AW|doc_id=2499|sent_id=84|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:Lebanese,Place:Lebanese
<s>A man in this vehicle</s> took a pot shot at <t>the commandos</t>.,Conflict,AW|doc_id=172|sent_id=65|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:A man in this vehicle,Target:the commandos
"Overnight and early this morning, the tanks and Bradley fighting vehicles of the 3rd Infantry Division backed by the Apache attack helicopters of <s>the 11th Aviation Regiment</s> punched through the Republican Guard defenses in and around <t>Karbala</t>.",Conflict,AW|doc_id=3302|sent_id=161|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:the 11th Aviation Regiment,Place:Karbala
"Overnight and early this morning, the tanks and Bradley fighting vehicles of the 3rd Infantry Division backed by the Apache attack helicopters of <s>the 11th Aviation Regiment</s> punched through the <t>Republican Guard</t> defenses in and around Karbala.",Conflict,AW|doc_id=3302|sent_id=161|dataset=ace|osplit=dev|etype=Conflict:Attack,Conflict:Attack,Attacker:the 11th Aviation Regiment,Target:Republican Guard
